
------------------------------ Round = 0 ---------------------------------------
-----------------------------------------------------------------------------------
*************************************************
Process ID | Arrival Time | Run Time | Priority |
*************************************************
               V|           37.0 |         89.0 |       90.0 |        2.0 |            52.0 |        52.0 |              54.0 |          3 |
               X|           41.0 |         96.0 |       98.0 |        3.0 |            55.0 |        55.0 |              58.0 |          4 |
               B|            6.0 |          6.0 |      106.0 |        8.0 |             0.0 |        93.0 |             101.0 |          4 |
               C|            8.0 |         11.0 |      110.0 |        9.0 |             3.0 |        94.0 |             103.0 |          1 |
               E|           11.0 |         21.0 |      114.0 |        9.0 |            10.0 |        95.0 |             104.0 |          4 |
               F|           11.0 |         26.0 |      115.0 |        6.0 |            15.0 |        99.0 |             105.0 |          4 |
               K|           21.0 |         44.0 |      117.0 |        7.0 |            23.0 |        90.0 |              97.0 |          4 |
               M|           24.0 |         54.0 |      122.0 |       10.0 |            30.0 |        89.0 |              99.0 |          4 |
               N|           25.0 |         59.0 |      124.0 |        7.0 |            34.0 |        93.0 |             100.0 |          2 |
               S|           35.0 |         74.0 |      126.0 |        7.0 |            39.0 |        85.0 |              92.0 |          1 |
               U|           35.0 |         84.0 |      131.0 |       10.0 |            49.0 |        87.0 |              97.0 |          4 |
               W|           39.0 |         91.0 |      136.0 |       10.0 |            52.0 |        88.0 |              98.0 |          3 |
               Y|           41.0 |         99.0 |      138.0 |        7.0 |            58.0 |        91.0 |              98.0 |          4 |
*****************************************************************************************************************************
         Average|            0.0 |          0.0 |        0.0 |        0.0 |            28.8 |        56.5 |              61.9 |
*****************************************************************************************************************************

SJF :
_AA___BBBBBBBBDDDDDHHGGGIIIIPPQOOORRRRVVJJJJXXXcccZZZdddLLLLLhhhhiikkkbbbbbooopppmmmmuuuTTTTTxxxxyyyyy

*****************************************************************************************************************************
Process Name | Arrival Time | Start Time | End Time | Run Time | Response Time | Wait Time | Turn Around Time | Priority |
*****************************************************************************************************************************
               A|            1.0 |          1.0 |        2.0 |        2.0 |             0.0 |         0.0 |               2.0 |          2 |
               B|            6.0 |          6.0 |       13.0 |        8.0 |             0.0 |         0.0 |               8.0 |          4 |
               D|           10.0 |         14.0 |       18.0 |        5.0 |             4.0 |         4.0 |               9.0 |          4 |
               H|           16.0 |         19.0 |       20.0 |        2.0 |             3.0 |         3.0 |               5.0 |          3 |
               G|           15.0 |         21.0 |       23.0 |        3.0 |             6.0 |         6.0 |               9.0 |          2 |
               I|           18.0 |         24.0 |       27.0 |        4.0 |             6.0 |         6.0 |              10.0 |          4 |
               P|           27.0 |         28.0 |       29.0 |        2.0 |             1.0 |         1.0 |               3.0 |          4 |
               Q|           30.0 |         30.0 |       30.0 |        1.0 |             0.0 |         0.0 |               1.0 |          3 |
               O|           26.0 |         31.0 |       33.0 |        3.0 |             5.0 |         5.0 |               8.0 |          2 |
               R|           33.0 |         34.0 |       37.0 |        4.0 |             1.0 |         1.0 |               5.0 |          3 |
               V|           37.0 |         38.0 |       39.0 |        2.0 |             1.0 |         1.0 |               3.0 |          3 |
               J|           21.0 |         40.0 |       43.0 |        4.0 |            19.0 |        19.0 |              23.0 |          4 |
               X|           41.0 |         44.0 |       46.0 |        3.0 |             3.0 |         3.0 |               6.0 |          4 |
               c|           47.0 |         47.0 |       49.0 |        3.0 |             0.0 |         0.0 |               3.0 |          2 |
               Z|           41.0 |         50.0 |       52.0 |        3.0 |             9.0 |         9.0 |              12.0 |          2 |
               d|           52.0 |         53.0 |       55.0 |        3.0 |             1.0 |         1.0 |               4.0 |          1 |
               L|           23.0 |         56.0 |       60.0 |        5.0 |            33.0 |        33.0 |              38.0 |          3 |
               h|           61.0 |         61.0 |       64.0 |        4.0 |             0.0 |         0.0 |               4.0 |          2 |
               i|           63.0 |         65.0 |       66.0 |        2.0 |             2.0 |         2.0 |               4.0 |          3 |
               k|           66.0 |         67.0 |       69.0 |        3.0 |             1.0 |         1.0 |               4.0 |          3 |
               b|           46.0 |         70.0 |       74.0 |        5.0 |            24.0 |        24.0 |              29.0 |          1 |
               o|           74.0 |         75.0 |       77.0 |        3.0 |             1.0 |         1.0 |               4.0 |          2 |
               p|           78.0 |         78.0 |       80.0 |        3.0 |             0.0 |         0.0 |               3.0 |          2 |
               m|           72.0 |         81.0 |       84.0 |        4.0 |             9.0 |         9.0 |              13.0 |          1 |
               u|           85.0 |         85.0 |       87.0 |        3.0 |             0.0 |         0.0 |               3.0 |          2 |
               T|           35.0 |         88.0 |       92.0 |        5.0 |            53.0 |        53.0 |              58.0 |          1 |
               x|           93.0 |         93.0 |       96.0 |        4.0 |             0.0 |         0.0 |               4.0 |          2 |
               y|           95.0 |         97.0 |      101.0 |        5.0 |             2.0 |         2.0 |               7.0 |          4 |
*****************************************************************************************************************************
         Average|            0.0 |          0.0 |        0.0 |        0.0 |             6.6 |         6.6 |              10.1 |
*****************************************************************************************************************************


SRT to Complete Preemptive:
_AA___BBBBBBBBDGHHGGIIIIDDDDPPQOOOJJJJVVRZZZRRRcccXXXdddbbbbbhhiihhkkkLLLLLooopppmmmmuuuTTTTTxxxysrFx
*****************************************************************************************************************************
Process Name | Arrival Time | Start Time | End Time | Run Time | Response Time | Wait Time | Turn Around Time | Priority |
*****************************************************************************************************************************
               A|            1.0 |          1.0 |        2.0 |        2.0 |             0.0 |         0.0 |               2.0 |          2 |
               B|            6.0 |          6.0 |       13.0 |        8.0 |             0.0 |         0.0 |               8.0 |          4 |
               H|           16.0 |         16.0 |       17.0 |        2.0 |             0.0 |         0.0 |               2.0 |          3 |
               G|           15.0 |         15.0 |       19.0 |        3.0 |             0.0 |         2.0 |               5.0 |          2 |
               I|           18.0 |         20.0 |       23.0 |        4.0 |             2.0 |         2.0 |               6.0 |          4 |
               D|           10.0 |         14.0 |       27.0 |        5.0 |             4.0 |        13.0 |              18.0 |          4 |
               P|           27.0 |         28.0 |       29.0 |        2.0 |             1.0 |         1.0 |               3.0 |          4 |
